Timestamp,IP_Address,Country,AthleteNames,Sports,Age,Gender,Nationality,Match_or_sport_event_dates,Outcomes,Medals,Ranks,Stadiums,Athlete_Height,Athlete_Weight,Date_of_Birth
2024-05-10 21:25:18.498838,233.23.85.201,Germany,Simone Biles,Tennis,27,Male,India,2024-05-10 21:25:18.498889,Draw,Bronze,2,Madison Square Garden,202,97,1985-05-10 21:25:18.498905
2024-05-10 21:25:18.499049,28.212.247.94,Russia,Usain Bolt,Gymnastics,28,Female,India,2024-05-10 21:25:18.499070,Win,Silver,9,Olympic Stadium,204,125,2005-05-10 21:25:18.499081
2024-05-10 21:25:18.499167,191.112.96.154,USA,Lionel Messi,Athletics,20,Male,India,2024-05-10 21:25:18.499186,Win,Silver,9,Bird's Nest,204,144,1990-05-10 21:25:18.499197
2024-05-10 21:25:18.499276,246.157.161.220,USA,Serena Williams,Athletics,28,Male,USA,2024-05-10 21:25:18.499294,Lose,Bronze,9,Bird's Nest,191,90,1984-05-10 21:25:18.499305
2024-05-10 21:25:18.499381,21.139.174.227,China,Usain Bolt,Tennis,22,Female,India,2024-05-10 21:25:18.499400,Draw,Silver,7,Madison Square Garden,203,68,2002-05-10 21:25:18.499412
2024-05-10 21:25:18.499487,231.216.139.26,India,Michael Phelps,Tennis,24,Male,Russia,2024-05-10 21:25:18.499505,Win,Gold,2,Olympic Stadium,199,131,2006-05-10 21:25:18.499516
2024-05-10 21:25:18.499618,237.164.246.139,USA,Simone Biles,Gymnastics,20,Male,Germany,2024-05-10 21:25:18.499638,Draw,,7,Wembley Stadium,175,142,2003-05-10 21:25:18.499650
2024-05-10 21:25:18.499741,138.49.17.41,India,Usain Bolt,Swimming,37,Male,India,2024-05-10 21:25:18.499758,Lose,Bronze,6,Bird's Nest,167,81,1998-05-10 21:25:18.499770
2024-05-10 21:25:18.499843,246.19.196.240,Russia,Simone Biles,Athletics,26,Male,China,2024-05-10 21:25:18.499861,Lose,Silver,1,Wembley Stadium,199,55,1987-05-10 21:25:18.499872
2024-05-10 21:25:18.500030,208.238.236.93,USA,Lionel Messi,Athletics,25,Female,India,2024-05-10 21:25:18.500093,Draw,Silver,4,Olympic Stadium,191,116,1989-05-10 21:25:18.500109
2024-05-10 21:25:18.500228,157.232.95.219,China,Lionel Messi,Soccer,28,Female,USA,2024-05-10 21:25:18.500248,Lose,Silver,5,Madison Square Garden,215,66,1989-05-10 21:25:18.500259
2024-05-10 21:25:18.500343,127.21.145.196,USA,Lionel Messi,Swimming,27,Female,USA,2024-05-10 21:25:18.500362,Win,,2,Madison Square Garden,173,78,2004-05-10 21:25:18.500372
2024-05-10 21:25:18.500450,53.78.115.122,USA,Lionel Messi,Athletics,21,Male,India,2024-05-10 21:25:18.500468,Lose,,3,Olympic Stadium,189,91,2002-05-10 21:25:18.500480
2024-05-10 21:25:18.500556,118.181.76.240,China,Simone Biles,Tennis,29,Female,Germany,2024-05-10 21:25:18.500573,Lose,Silver,5,Bird's Nest,162,135,1994-05-10 21:25:18.500585
